case_id,image_width,image_height,is_landscape,ink_pixels,ink_density,stroke_darkness_mean,stroke_darkness_std,skeleton_length,skeleton_density,stroke_thickness_proxy,connected_components_count,small_components_count,largest_component_area,largest_component_area_ratio,mean_component_area,contour_count,endpoints_count,intersections_count,endpoints_per_skeleton_length,intersections_per_skeleton_length,components_per_ink_area,bbox_width,bbox_height,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,drawing_center_distance_norm,perseveration_score,distortion_proxy_score
49,1241,1755,0,61656,0.028309124844177223,80.38164979888413,57.129263353033515,11209,0.0051465709805758155,5.5005798906681616,302,357,9044,0.004152519221012372,194.96357615894038,234,1134,521,0.10116870371119915,0.04648050673151213,0.004898144543841667,1201,1729,0.9534306264362671,0.6946211679036315,0.4931506849315068,0.4997150997150997,0.003961348337788666,0.39749467802320754,1.655957701681784
50,1241,1755,0,38114,0.01749990243140928,61.93398751115076,34.16650790907367,6854,0.0031469888037172484,5.560840384365211,133,122,7781,0.003572617432407924,279.01503759398497,108,419,138,0.06113218557614062,0.020134228184981874,0.0034895314056910967,1155,1343,0.7122116848144245,0.860014891392394,0.48186946011281223,0.39373219373219376,0.08739581350614103,-0.33788944761939915,-0.7202920493414677
51,1241,1755,0,69221,0.03178256667378344,95.22436832753067,76.13543223226765,14841,0.006814190375834211,4.664173572895076,362,272,6928,0.00318096563060302,185.22651933701658,304,1168,467,0.07870089616072361,0.03146688228344,0.005229626847268465,1200,1724,0.949881884611941,0.6960556840510117,0.4927477840451249,0.4982905982905983,0.004413623515336611,0.3272443528621145,1.4021582328763074
52,1241,1755,0,48708,0.02236409843178578,120.09384495360105,70.68544174850307,9158,0.00420486190026883,5.318628520930484,232,143,6871,0.0031547942909747905,204.93965517241378,203,650,292,0.07097619566816159,0.03188469097708182,0.004763077933711853,1201,1690,0.9319246724565017,0.7106508871534609,0.4931506849315068,0.5011396011396011,0.004062505426736667,0.5854294299672294,0.7086495757858972
53,1755,1241,1,66959,0.030743977722221073,122.78237428874385,69.57365204807759,11493,0.005276968532407694,5.826068040909591,182,135,8486,0.0038963155804412853,363.1978021978022,151,572,659,0.049769424862980124,0.057339249973258566,0.002718081213836556,1725,1094,0.8664779575335578,1.5767824482844766,0.5008547008547009,0.4629331184528606,0.021412266382598966,1.2845974022359041,0.4566239856790485
54,1241,1755,0,52854,0.024267719030007507,116.9597381465925,64.92364571565582,10042,0.004610747237661017,5.263294163984933,153,81,6225,0.0028581857751881928,341.4052287581699,131,432,493,0.04301931885650076,0.04909380600984925,0.0028947667158040116,1181,1729,0.9375533470618079,0.683053787921889,0.508460918614021,0.4997150997150997,0.004890521461780397,0.6008181486554361,0.3503639914680638
55,1241,1755,0,57805,0.026540952407189313,116.3284317965574,54.45247513003662,9923,0.004556108826858222,5.825355234724846,154,118,9176,0.004213126533835639,369.4935064935065,131,474,335,0.04776781214876873,0.0337599516241298,0.002664129400524797,1196,1357,0.7451816038439729,0.8813559315539012,0.4951651893634166,0.39373219373219376,0.08681154784591803,0.9960504480099366,-0.4562457587039809
56,1241,1755,0,36208,0.016624769565946038,91.20616990720283,77.93287976095785,9637,0.004424792982407809,3.7571858458278315,258,759,3902,0.0017915888987605345,121.29457364341086,179,1677,408,0.1740168101925893,0.04233682680893049,0.007125497127509791,1201,1729,0.9534306264362671,0.6946211679036315,0.4931506849315068,0.4997150997150997,0.003961348337788666,-0.9196967137184432,2.2291380757559405
57,1241,1755,0,29237,0.013424060644044528,108.93744228203988,51.20201250753492,5671,0.0026038187198541753,5.155528124641945,105,54,5388,0.0024738803143315633,274.37142857142857,95,246,168,0.04337859283311962,0.02962440486164267,0.0035913397406166386,1183,1331,0.7229593816217507,0.8888054087987938,0.49798549556809024,0.41766381766381766,0.06723677358617257,-0.07749856251340916,-0.8534927056251453
58,1241,1755,0,31627,0.014521420323193087,125.42103266196604,52.256106363385534,6062,0.002783344926777642,5.217255030482142,77,39,5175,0.002376082150457654,407.0,69,167,128,0.02754866380277983,0.021115143513507892,0.002434628640009023,1133,1603,0.8339010677447422,0.7067997500269496,0.48267526188557613,0.4831908831908832,0.01698273523744492,0.24009274881123852,-0.9352035709793273
59,1241,1755,0,36095,0.016572886032998845,147.70092810638593,59.20863595386288,6166,0.002831096142941429,5.853876093763562,101,61,6760,0.0031038290506461338,352.61386138613864,94,256,120,0.04151800193942296,0.019461563409104512,0.002798171491818862,1106,1669,0.8475446003246164,0.6626722584405798,0.483883964544722,0.5094017094017094,0.012062558583274065,0.9890295548060756,-0.6570139741996578
60,1241,1755,0,25051,0.011502074193452115,143.5407768152968,62.404465517570124,5934,0.0027245741991914433,4.221604313410582,86,23,4942,0.002269101060398401,289.56976744186045,77,152,65,0.025615099422714,0.010953825411029015,0.0034329966866219713,1166,1655,0.8860284073821544,0.7045317216286817,0.5056406124093473,0.49002849002849,0.00876881834691397,-0.1720121525566971,-0.916259401568368
61,1241,1755,0,27573,0.01266004118542394,87.06455590614006,44.37541544319613,4988,0.0022902217906246914,5.527866879404998,99,50,5306,0.002436230316971655,275.14141414141415,89,296,144,0.0593424218004526,0.028869286281301264,0.0035904689368733735,1077,1725,0.8530134920142978,0.6243478257250157,0.46897663174858983,0.5008547008547009,0.017925204997558265,-0.22587689867338356,-0.2930520454845095
62,1241,1755,0,40093,0.01840855297744903,114.55096899708178,53.314000859273726,8988,0.00412680702769341,4.460725411163693,107,32,6730,0.0030900546613681183,371.5981308411215,96,263,416,0.029261237201906848,0.0462839341292519,0.002668795051438685,1090,1643,0.8222713508773138,0.6634205717203769,0.5233682514101531,0.4757834757834758,0.023937098593937358,-0.1327508097296548,-0.41735760681964573
63,1241,1755,0,43562,0.020001331524296874,96.10697396813737,66.12112176337152,10995,0.0050483136703926386,3.961982719057573,233,191,6031,0.00276911139119036,180.30901287553647,173,777,491,0.07066848566887962,0.04465666211508352,0.0053486984067455876,1182,1473,0.7994132110167566,0.8024439913085919,0.5008058017727639,0.4267806267806268,0.05978473493299603,-0.5837182185746335,0.4915673910656167
64,1241,1755,0,29040,0.013333608821118894,103.20719696969697,62.77818264969661,7552,0.0034674729275857396,3.8453389825416657,138,127,4631,0.0021263065582163084,203.8913043478261,117,451,211,0.059719279653109206,0.027939618640368164,0.004752066115538841,1193,1587,0.8692975750187676,0.7517328287638734,0.49637389202256244,0.45925925925925926,0.03333024523804944,-0.8570285984481583,-0.08516061192750124
